at,total,in_stock,out_of_stock,bambu_in_stock,polymaker_in_stock
2026-09-01T04:59:42+00:00,566,414,152,262,152
2026-09-01T10:01:31+00:00,566,414,152,262,152
2026-09-01T14:49:16+00:00,566,412,154,260,152
2026-09-01T18:26:28+00:00,566,409,157,259,150
2026-09-01T21:44:20+00:00,566,408,158,258,150
2026-09-02T00:04:46+00:00,566,408,158,258,150
2026-09-02T04:25:23+00:00,566,408,158,258,150
2026-09-02T09:32:37+00:00,566,408,158,258,150
2026-09-02T14:25:01+00:00,566,408,158,258,150
2026-09-02T18:37:45+00:00,566,411,155,261,150
2026-09-02T21:46:20+00:00,566,413,153,263,150
2026-09-03T00:09:33+00:00,566,413,153,263,150
2026-09-03T05:43:51+00:00,566,413,153,263,150
2026-09-03T11:08:37+00:00,566,414,152,264,150
2026-09-03T16:22:13+00:00,566,414,152,264,150
2026-09-03T19:46:39+00:00,566,414,152,264,150
2026-09-03T22:31:06+00:00,566,414,152,264,150
2026-09-04T00:56:38+00:00,566,413,153,264,149
2026-09-04T05:49:05+00:00,566,413,153,264,149
2026-09-04T11:11:49+00:00,566,412,154,264,148
2026-09-04T16:17:24+00:00,566,411,155,263,148
2026-09-04T19:30:27+00:00,566,405,161,262,143
2026-09-04T22:19:45+00:00,566,402,164,261,141
2026-09-05T00:53:37+00:00,566,400,166,261,139
2026-09-05T05:40:31+00:00,566,400,166,261,139
2026-09-05T10:30:03+00:00,566,400,166,261,139
2026-09-05T13:50:51+00:00,566,400,166,261,139
2026-09-05T16:47:54+00:00,566,398,168,259,139
2026-09-05T19:00:27+00:00,562,396,166,259,137
2026-09-05T21:10:28+00:00,562,393,169,257,136
2026-09-05T23:50:31+00:00,562,391,171,257,134
2026-09-06T04:29:41+00:00,562,391,171,257,134
2026-09-06T09:22:11+00:00,562,391,171,257,134
2026-09-06T13:38:42+00:00,562,391,171,257,134
2026-09-06T16:58:10+00:00,562,391,171,257,134
2026-09-06T19:06:55+00:00,562,391,171,257,134
2026-09-06T21:19:30+00:00,562,389,173,257,132
2026-09-06T23:49:43+00:00,562,388,174,256,132
2026-09-07T04:29:02+00:00,562,388,174,256,132
2026-09-07T10:12:01+00:00,562,387,175,255,132
2026-09-07T16:25:25+00:00,562,387,175,255,132
2026-09-07T20:32:21+00:00,562,386,176,254,132
2026-09-07T23:28:06+00:00,562,385,177,254,131
2026-09-08T04:27:35+00:00,562,384,178,254,130
2026-09-08T09:35:41+00:00,562,384,178,254,130
2026-09-08T14:29:10+00:00,562,383,179,253,130
2026-09-08T18:35:19+00:00,562,386,176,256,130
2026-09-08T21:48:17+00:00,562,385,177,256,129
2026-09-09T00:08:43+00:00,562,385,177,256,129
2026-09-09T05:56:36+00:00,562,385,177,256,129
2026-09-09T11:15:08+00:00,562,384,178,255,129
2026-09-09T16:34:04+00:00,562,384,178,255,129
2026-09-09T19:44:02+00:00,562,388,174,259,129
2026-09-09T22:30:21+00:00,562,387,175,258,129
2026-09-10T01:01:27+00:00,562,387,175,258,129
2026-09-10T05:55:00+00:00,562,386,176,257,129
2026-09-10T11:11:57+00:00,562,386,176,257,129
2026-09-10T16:20:22+00:00,562,383,179,257,126
2026-09-10T19:36:53+00:00,562,383,179,257,126
2026-09-10T22:30:56+00:00,562,383,179,257,126
2026-09-11T01:00:05+00:00,562,382,180,256,126
2026-09-11T05:54:23+00:00,562,382,180,256,126
2026-09-11T11:13:04+00:00,562,382,180,256,126
2026-09-11T16:24:17+00:00,562,392,170,266,126
2026-09-11T19:38:10+00:00,562,392,170,266,126
2026-09-11T22:31:08+00:00,562,392,170,266,126
2026-09-12T01:04:17+00:00,562,392,170,266,126
2026-09-12T05:44:22+00:00,562,392,170,266,126
2026-09-12T10:40:02+00:00,562,392,170,266,126
2026-09-12T14:03:35+00:00,562,392,170,266,126
2026-09-12T17:05:00+00:00,562,391,171,266,125
2026-09-12T19:16:49+00:00,561,389,172,266,123
2026-09-12T22:13:05+00:00,561,386,175,266,120
2026-09-13T00:55:46+00:00,561,386,175,266,120
2026-09-13T06:03:29+00:00,561,386,175,266,120
2026-09-13T11:44:03+00:00,561,386,175,266,120
2026-09-13T16:11:19+00:00,561,385,176,265,120
2026-09-13T19:25:06+00:00,561,384,177,265,119
2026-09-13T22:22:34+00:00,561,382,179,263,119
2026-09-14T00:59:50+00:00,561,381,180,262,119
2026-09-14T06:10:52+00:00,561,381,180,262,119
2026-09-14T13:57:15+00:00,561,380,181,261,119
2026-09-14T19:17:55+00:00,561,383,178,265,118
2026-09-14T23:06:20+00:00,561,383,178,265,118
2026-09-15T01:25:35+00:00,561,383,178,265,118
2026-09-15T07:39:44+00:00,561,382,179,265,117
2026-09-15T13:28:48+00:00,561,382,179,265,117
2026-09-15T18:08:32+00:00,561,383,178,266,117
2026-09-15T22:10:01+00:00,561,381,180,265,116
2026-09-16T01:22:16+00:00,561,381,180,265,116
2026-09-16T07:38:29+00:00,561,381,180,265,116
2026-09-16T13:27:51+00:00,561,381,180,265,116
2026-09-16T18:10:09+00:00,561,379,182,263,116
2026-09-16T22:05:53+00:00,557,378,179,263,115
2026-09-17T00:28:01+00:00,557,378,179,263,115
2026-09-17T06:05:52+00:00,557,378,179,263,115
2026-09-17T11:37:15+00:00,557,378,179,263,115
2026-09-17T16:54:17+00:00,557,381,176,266,115
2026-09-17T20:16:00+00:00,557,381,176,266,115
